,y
344,6.525029657843463
3991,0.0
3206,0.0
4340,0.0
4384,0.0
3027,0.0
236,0.0
2512,0.0
1165,0.0
4590,0.0
3999,0.0
448,0.0
1169,0.0
4568,0.0
3503,0.0
4071,4.4067192472642525
2575,2.302585092994046
3273,0.0
3135,0.6931471805599453
205,7.440733707389262
3203,0.0
2065,0.0
607,0.0
420,0.0
2158,0.0
846,0.0
2655,0.0
1236,0.0
4475,1.3862943611198906
1791,0.0
563,0.0
418,0.0
4765,0.0
3611,0.0
3841,3.951243718581428
4324,0.0
4277,6.621405651764134
1977,7.1284959456800365
518,0.0
3020,0.0
1020,5.700443573390688
993,0.0
3964,0.0
1764,0.0
1657,0.0
2480,0.0
2039,0.0
3970,0.0
534,0.0
3251,0.0
4178,0.0
1802,0.0
2605,0.6931471805599453
4929,0.0
1827,0.0
3921,2.6390573296152584
2872,0.0
2906,0.0
4879,0.0
4499,0.0
946,0.0
2361,0.0
1406,4.3694478524670215
4520,0.0
2706,0.0
616,0.0
3789,0.0
955,0.0
194,0.0
909,0.0
4483,4.07753744390572
1825,0.0
4559,0.0
1534,0.0
3720,0.0
368,0.0
4396,2.079441541679836
4206,0.0
2881,2.5649493574615367
2695,0.0
1922,0.0
2908,0.0
3454,0.0
1653,3.688879454113936
216,0.0
1247,0.0
4288,0.0
3266,0.0
3483,0.0
1055,2.8332133440562166
1426,0.0
4302,0.0
4357,0.0
3498,0.0
1810,0.0
460,0.6931471805599453
1147,0.0
3134,2.5649493574615367
1916,0.0
1242,0.0
3042,0.0
4320,0.0
4232,0.6931471805599453
4106,0.0
4622,0.0
769,0.0
4335,0.0
1828,0.0
2027,0.0
4962,4.564348191467836
234,0.0
2678,0.0
1,0.0
4625,0.0
2839,0.0
4979,5.342334251964812
2019,0.0
2472,0.0
210,0.0
671,0.0
3285,0.0
3749,0.0
438,0.0
1666,0.0
3535,0.0
3906,0.0
880,2.8903717578961645
1929,0.0
1697,0.0
1703,1.3862943611198906
1008,0.0
3480,0.0
4745,0.0
4666,5.497168225293202
4684,0.0
3944,0.0
385,0.0
1960,0.0
4876,3.970291913552122
2805,0.0
3631,0.0
3584,8.069029328774956
3043,0.0
4141,0.0
4759,0.0
2197,0.0
4681,0.0
2987,0.0
1971,0.0
4757,0.0
396,0.0
2273,0.0
3255,0.0
1814,0.0
3632,0.0
2118,0.0
3358,0.0
2155,0.0
1217,0.0
3343,0.0
2016,0.0
613,0.0
290,0.0
4312,0.0
1424,1.791759469228055
990,0.0
4554,7.292337176173878
4348,0.0
4245,0.0
2441,0.0
1512,0.0
1736,0.0
3300,3.332204510175204
650,0.0
4143,0.0
4060,6.559615237493242
1494,5.752572638825632
1958,0.0
730,4.30406509320417
2682,0.0
345,0.0
2784,0.0
4084,5.7071102647488745
3118,5.356586274672011
3247,0.0
2030,0.0
4431,6.8638033914529535
4580,0.0
2506,1.3862943611198906
3003,0.0
913,0.0
2529,0.0
794,2.9444389791664403
960,0.0
392,0.0
268,0.0
342,8.229777750081887
1463,2.3978952727983707
1586,0.0
1941,0.0
2742,2.3978952727983707
1734,0.0
2640,0.0
1675,0.0
2971,0.0
3635,0.0
893,3.688879454113936
695,1.791759469228055
1377,0.0
